booking_id,passenger_id,flight_id,booking_date,status,seat_number
B1485,P1618,6F220,2025-07-05,CANCELLED,12D
B1486,P1790,AI207,2025-05-04,CONFIRMED,3D
B1487,P1864,6F024,2026-01-26,PENDING,5E
B1488,P1746,SJ073,2025-05-04,CANCELLED,27E
B1489,P1017,SJ201,2025-07-08,CANCELLED,24F
B1490,P1753,AI180,2026-03-10,CONFIRMED,29B
B1491,P1116,UK022,2025-07-16,CONFIRMED,18F
B1492,P1797,AI202,2026-03-27,CANCELLED,29C
B1493,P1793,6F212,2025-06-01,CONFIRMED,26D
B1494,P1143,6F163,2025-06-09,CANCELLED,23F
B1495,P1716,UK028,2025-10-15,CONFIRMED,27D
B1496,P1550,6F243,2026-03-21,PENDING,7D
B1497,P1928,AI165,2025-09-02,CONFIRMED,11F
B1498,P1665,UK099,2025-07-18,PENDING,3D
B1499,P1687,AI033,2025-06-17,INVALID,17C
B1500,P1960,UK056,2025-04-30,CONFIRMED,22D
B1501,P1752,SJ122,2025-09-04,CANCELLED,23D
B1502,P1421,AI086,2025-10-15,CONFIRMED,23F
B1503,P1897,SJ011,2025-10-17,CONFIRMED,25C
B1504,P1368,SJ021,2025-04-21,PENDING,4E
B1505,P1645,SJ106,2025-11-29,CONFIRMED,8F
B1506,P1557,SJ026,2026-01-29,CANCELLED,9E
B1507,P1049,SJ245,2025-11-27,PENDING,20A
B1508,P1677,AI023,2025-07-31,,9C
B1509,P1105,AI032,2025-09-25,CANCELLED,14F
B1510,P1215,AI236,2025-05-11,CANCELLED,19F
B1511,P1657,6F094,2025-12-24,CANCELLED,15C
B1512,P1922,UK163,2025-12-21,PENDING,4A
B1513,P1424,UK163,2025-06-30,CONFIRMED,32B
B1514,P1071,SJ045,2025-05-07,CANCELLED,21E
B1515,P1987,SJ006,2025-07-06,PENDING,26A
B1516,P1841,SJ103,2025-08-05,CANCELLED,34F
B1517,P1784,6F221,2026-01-16,INVALID,31B
B1518,P1758,SJ147,2026-03-20,INVALID,30A
B1519,P1445,SJ064,2026-03-25,PENDING,3C
B1520,P1924,AI028,2026-04-02,CONFIRMED,27A
B1521,P1185,AI148,2025-11-08,PENDING,31E
B1522,P1069,6F263,2025-08-31,CONFIRMED,1C
B1523,P1973,SJ067,2025-05-19,PENDING,21F
B1524,P1149,6F061,2025-06-17,PENDING,23D
B1525,P1245,AI254,2025-05-29,,11E
B1526,P1773,SJ136,2025-11-15,CONFIRMED,17D
B1527,P1537,AI046,2025-07-09,PENDING,8A
B1528,P1934,UK174,2026-03-28,PENDING,6E
B1529,P1651,6F066,2025-04-30,,34C
B1530,P1098,UK095,2025-12-08,INVALID,23E
B1531,P1909,6F063,2026-04-01,PENDING,30F
B1532,P1277,UK118,2025-04-22,PENDING,30A
B1533,P1562,UK218,2025-09-15,PENDING,28D
B1534,P1662,UK031,2025-09-11,CONFIRMED,34E
B1535,P1943,UK142,2026-04-02,PENDING,6C
B1536,P1454,AI002,2025-06-01,,4C
B1537,P1103,UK070,2025-10-08,CONFIRMED,21F
B1538,P1945,SJ121,2026-03-17,PENDING,8E
B1539,P1600,UK201,2025-06-11,CONFIRMED,20B
B1540,P1652,AI138,2026-01-15,CANCELLED,7E
B1541,P1724,SJ014,2025-12-16,CONFIRMED,26A
B1542,P1232,SJ053,2025-12-13,PENDING,14F
B1543,P1393,SJ241,2025-06-16,CANCELLED,4F
B1544,P1500,AI249,2025-09-01,CANCELLED,16A
B1545,P1694,AI176,2026-03-08,PENDING,8A
B1546,P1250,SJ234,2026-04-02,PENDING,32B
B1547,P1520,6F115,2025-04-18,PENDING,16C
B1548,P1078,AI020,2025-10-04,CONFIRMED,7E
B1549,P1051,AI020,2025-12-16,CONFIRMED,24A
B1550,P1897,6F079,2025-12-06,CONFIRMED,10D
B1551,P1920,6F104,2025-11-14,INVALID,8E
B1552,P1780,UK046,2026-02-06,PENDING,32D
B1553,P1225,SJ217,2025-11-15,CONFIRMED,33D
B1554,P1050,6F142,2025-08-26,CANCELLED,8D
B1555,P1185,SJ139,2026-04-04,CONFIRMED,3B
B1556,P1033,6F059,2026-01-18,CANCELLED,31D
B1557,P1802,6F067,2025-08-10,PENDING,17A
B1558,P1741,AI007,2025-08-07,PENDING,27A
B1559,P1130,UK202,2026-01-20,CONFIRMED,5F
B1560,P1631,AI200,2026-03-07,CONFIRMED,18C
B1561,P1442,UK172,2026-01-27,PENDING,18C
B1562,P1837,6F214,2025-05-01,CONFIRMED,10B
B1563,P1758,UK037,2025-09-11,PENDING,27B
B1564,P1431,AI022,2025-08-14,PENDING,17F
B1565,P1703,AI243,2026-02-06,CANCELLED,20D
B1566,P1496,SJ174,2025-10-08,CONFIRMED,29F
B1567,P1402,SJ079,2025-11-13,PENDING,9A
B1568,P1322,UK097,2025-12-21,CONFIRMED,21A
B1569,P1209,AI013,2025-12-26,CANCELLED,14E
B1570,P1614,UK196,2025-11-21,CANCELLED,25E
B1571,P1328,SJ213,2025-11-06,CONFIRMED,2C
B1572,P1371,UK119,2025-05-26,CONFIRMED,5D
B1573,P1459,AI043,2026-03-18,PENDING,19B
B1574,P1132,AI043,2025-04-29,CANCELLED,18A
B1575,P1834,AI143,2025-06-16,CANCELLED,2B
B1576,P1650,SJ032,2025-10-20,,6F
B1577,P1120,6F050,2026-01-24,CONFIRMED,23A
B1578,P1605,AI134,2025-12-25,PENDING,6B
B1579,P1451,6F182,2025-04-24,CONFIRMED,28E
B1580,P1964,SJ086,2025-10-08,CONFIRMED,20D
B1581,P1128,6F170,2025-08-06,CONFIRMED,3D
B1582,P1090,UK168,2025-04-24,PENDING,34B
B1583,P1603,SJ072,2026-02-22,,33D
B1584,P1574,UK075,2025-04-28,CANCELLED,21C
B1585,P1028,6F233,2026-01-08,CANCELLED,1C
B1586,P1721,SJ143,2025-11-13,CANCELLED,25B
B1587,P1523,SJ246,2025-06-28,PENDING,34E
B1588,P1332,SJ247,2025-11-04,CONFIRMED,10B
B1589,P1296,UK157,2025-08-31,PENDING,3D
B1590,P1129,UK069,2026-04-01,CONFIRMED,25B
B1591,P1292,AI106,2025-11-20,CANCELLED,8A
B1592,P1172,UK085,2025-11-17,CONFIRMED,24F
B1593,P1719,6F087,2025-09-24,,1A
B1594,P1943,AI067,2025-06-01,CONFIRMED,25E
B1595,P1023,6F226,2026-01-07,PENDING,4E
B1596,P1098,SJ210,2025-12-20,CONFIRMED,15E
B1597,P1405,6F269,2025-10-23,CONFIRMED,33A
B1598,P1355,UK013,2026-01-02,CONFIRMED,11B
B1599,P1138,UK013,2025-09-30,PENDING,9E
B1600,P1502,UK143,2025-07-20,PENDING,2C
B1601,P1825,6F262,2025-09-07,PENDING,28D
B1602,P1173,6F042,2025-07-07,,2A
B1603,P1028,SJ118,2025-12-06,CANCELLED,17E
B1604,P1930,SJ118,2025-11-17,CANCELLED,3C
B1605,P1495,SJ082,2025-10-03,CANCELLED,6C
B1606,P1654,6F015,2025-07-18,CONFIRMED,23E
B1607,P1827,AI101,2026-02-02,INVALID,30F
B1608,P1350,SJ110,2025-06-28,CANCELLED,10B
B1609,P1553,SJ042,2025-10-21,CANCELLED,19D
B1610,P1298,6F145,2025-10-13,CONFIRMED,27A
B1611,P1719,UK029,2026-01-05,CANCELLED,14C
B1612,P1841,SJ200,2025-04-18,CANCELLED,28C
B1613,P1944,SJ209,2026-01-29,CONFIRMED,6A
B1614,P1191,AI116,2025-05-11,,30B
B1615,P1671,6F117,2025-05-23,CANCELLED,33B
B1616,P1063,SJ181,2025-12-23,PENDING,17A
B1617,P1754,AI070,2025-05-10,INVALID,18A
B1618,P1769,AI070,2026-01-19,CONFIRMED,1B
B1619,P1663,UK042,2026-02-05,PENDING,13A
B1620,P1214,AI169,2026-02-24,PENDING,1B
B1621,P1833,6F021,2025-12-21,PENDING,27A
B1622,P1165,SJ046,2025-06-23,PENDING,19F
B1623,P1542,AI211,2025-08-17,CANCELLED,22B
B1624,P1882,SJ091,2025-12-20,CANCELLED,34F
B1625,P1231,AI123,2026-04-05,PENDING,7D
B1626,P1793,6F053,2025-04-17,CANCELLED,25C
B1627,P1540,UK012,2026-01-09,PENDING,27E
B1628,P1194,6F023,2025-11-25,PENDING,33A
B1629,P1505,AI250,2026-01-02,CONFIRMED,11A
B1630,P1333,AI238,2026-04-07,PENDING,26F
B1631,P1767,UK096,2026-02-17,CANCELLED,24F
B1632,P1792,UK126,2026-03-30,PENDING,1D
B1633,P1303,SJ195,2025-08-30,CONFIRMED,8E
B1634,P1832,SJ171,2025-12-25,CANCELLED,1C
B1635,P1436,AI136,2025-08-14,INVALID,7C
B1636,P1322,SJ192,2025-05-27,CONFIRMED,22B
B1637,P1501,6F035,2025-12-01,PENDING,27C
B1638,P1857,UK088,2026-02-23,CONFIRMED,22C
B1639,P1913,6F009,2025-09-14,CONFIRMED,24E
B1640,P1392,6F004,2026-01-28,CANCELLED,30B
B1641,P1805,UK122,2026-03-27,,28D
B1642,P1598,AI251,2026-02-15,PENDING,4E
B1643,P1148,AI027,2026-02-04,PENDING,14A
B1644,P1760,SJ165,2025-10-20,PENDING,20E
B1645,P1832,UK081,2025-08-16,CONFIRMED,17D
B1646,P1404,UK191,2025-09-27,CANCELLED,28C
B1647,P1282,SJ188,2025-11-06,PENDING,14F
B1648,P1361,6F016,2025-08-09,CONFIRMED,33D
B1649,P1378,6F064,2026-04-05,PENDING,4F
B1650,P1197,SJ105,2026-04-03,,10D
B1651,P1555,SJ054,2025-09-09,CANCELLED,21B
B1652,P1355,6F197,2025-12-19,PENDING,23C
B1653,P1539,AI040,2026-03-26,CANCELLED,31B
B1654,P1428,AI131,2025-08-14,,31A
B1655,P1016,6F141,2025-10-09,PENDING,7D
B1656,P1638,UK035,2025-05-12,CONFIRMED,26E
B1657,P1378,AI005,2025-08-28,CONFIRMED,12B
B1658,P1679,AI001,2025-06-22,CONFIRMED,18D
B1659,P1505,UK211,2026-01-17,PENDING,6D
B1660,P1755,SJ189,2026-04-04,CANCELLED,12D
B1661,P1898,UK006,2025-04-21,PENDING,18D
B1662,P1075,6F189,2025-10-13,CONFIRMED,17A
B1663,P1230,AI133,2025-05-16,CANCELLED,15B
B1664,P1715,SJ216,2025-11-08,CONFIRMED,25B
B1665,P1961,SJ133,2026-03-04,CANCELLED,29D
B1666,P1247,UK082,2026-03-05,PENDING,32C
B1667,P1301,6F136,2026-02-16,CANCELLED,32C
B1668,P1725,6F039,2025-04-30,PENDING,3B
B1669,P1214,AI011,2025-06-16,CONFIRMED,3E
B1670,P1157,SJ225,2025-05-12,CANCELLED,16C
B1671,P1068,SJ024,2025-07-08,CONFIRMED,22C
B1672,P1392,AI109,2025-08-01,CANCELLED,14E
B1673,P1084,AI147,2025-06-12,,28B
B1674,P1266,UK057,2025-11-03,CANCELLED,18C
B1675,P1068,6F111,2025-08-01,CANCELLED,9A
B1676,P1610,AI197,2026-04-14,PENDING,24C
B1677,P1346,UK127,2026-01-31,PENDING,29C
B1678,P1961,6F240,2025-12-31,PENDING,24B
B1679,P1727,6F257,2025-08-17,CANCELLED,25A
B1680,P1926,AI253,2026-03-19,,11F
B1681,P1672,SJ135,2026-04-02,CANCELLED,15C
B1682,P1422,UK112,2025-07-10,CANCELLED,20B
B1683,P1605,AI050,2025-08-07,CONFIRMED,9C
B1684,P1173,UK060,2025-11-18,PENDING,8E
B1685,P1676,SJ183,2025-05-15,CANCELLED,25E
B1686,P1114,UK138,2025-11-17,CONFIRMED,23E
B1687,P1219,SJ071,2025-10-12,PENDING,22F
B1688,P1955,AI057,2025-06-14,PENDING,9D
B1689,P1030,SJ151,2025-07-10,CANCELLED,20B
B1690,P1522,SJ144,2025-06-28,PENDING,12C
B1691,P1342,SJ087,2026-01-23,PENDING,12E
B1692,P1376,SJ066,2026-04-02,CONFIRMED,18A
B1693,P1129,AI247,2026-01-02,CONFIRMED,11F
B1694,P1999,SJ102,2026-04-01,PENDING,24D
B1695,P1616,6F252,2026-04-13,CONFIRMED,4F
B1696,P1538,6F055,2025-11-28,PENDING,11C
B1697,P1738,AI204,2025-11-12,CANCELLED,34B
B1698,P1001,AI016,2026-02-02,CONFIRMED,31D
B1699,P1870,AI209,2025-12-11,PENDING,15D
B1700,P1100,SJ211,2026-01-04,PENDING,14B
B1701,P1532,6F103,2025-10-16,CONFIRMED,13F
B1702,P1057,UK182,2025-04-22,CONFIRMED,31F
B1703,P1388,6F264,2025-12-25,CANCELLED,19B
B1704,P1691,6F027,2025-07-23,PENDING,29A
B1705,P1940,UK198,2026-01-31,CANCELLED,3B
B1706,P1340,6F171,2025-09-07,CANCELLED,15C
B1707,P1860,AI004,2025-07-05,CANCELLED,1B
B1708,P1019,6F157,2025-11-22,CONFIRMED,3C
B1709,P1254,AI018,2025-10-03,CANCELLED,22B
B1710,P1316,UK098,2025-08-05,CONFIRMED,21E
B1711,P1037,6F167,2026-01-29,,4C
B1712,P1659,AI228,2025-09-06,CANCELLED,17C
B1713,P1536,SJ242,2025-08-31,CANCELLED,17D
B1714,P1385,6F227,2025-12-11,PENDING,34C
B1715,P1632,6F037,2025-08-27,CANCELLED,20C
B1716,P1927,6F107,2025-12-22,PENDING,28A
B1717,P1025,SJ125,2025-11-06,CANCELLED,14A
B1718,P1453,UK117,2025-06-17,CANCELLED,9B
B1719,P1680,6F192,2025-11-12,CANCELLED,29E
B1720,P1322,AI201,2025-11-27,CANCELLED,27B
B1721,P1736,SJ126,2026-03-25,PENDING,21A
B1722,P1512,AI177,2026-02-10,PENDING,5E
B1723,P1818,AI092,2025-12-23,CANCELLED,26B
B1724,P1772,6F076,2025-10-10,CANCELLED,11D
B1725,P1012,AI185,2025-04-29,PENDING,1E
B1726,P1914,AI055,2025-05-14,CONFIRMED,2B
B1727,P1907,6F222,2026-03-15,CONFIRMED,27D
B1728,P1559,AI090,2025-12-12,CONFIRMED,1C
B1729,P1920,AI183,2025-06-03,PENDING,4F
B1730,P1824,AI041,2025-04-29,PENDING,25F
B1731,P1370,6F210,2025-07-12,CONFIRMED,25F
B1732,P1290,AI170,2026-01-15,CONFIRMED,3A
B1733,P1331,SJ008,2026-04-16,CANCELLED,2E
B1734,P1605,AI049,2025-09-29,PENDING,27E
B1735,P1260,SJ132,2025-05-12,PENDING,34E
B1736,P1993,SJ224,2026-01-26,CONFIRMED,28E
B1737,P1789,UK038,2025-06-11,CONFIRMED,1E
B1738,P1870,SJ220,2025-08-14,PENDING,27B
B1739,P1204,6F124,2025-06-29,CANCELLED,34F
B1740,P1696,SJ164,2025-11-16,CONFIRMED,14D
B1741,P1686,AI026,2025-05-18,PENDING,18E
B1742,P1949,6F144,2025-09-14,PENDING,16D
B1743,P1386,6F137,2025-11-21,INVALID,6F
B1744,P1891,UK139,2025-09-05,CANCELLED,10A
B1745,P1820,UK139,2025-05-20,CONFIRMED,27B
B1746,P1467,SJ140,2025-08-31,CONFIRMED,34D
B1747,P1414,6F131,2025-04-20,CONFIRMED,9F
B1748,P1068,UK128,2025-11-15,PENDING,9A
B1749,P1471,SJ219,2026-02-19,CONFIRMED,23D
B1750,P1103,SJ159,2025-09-21,PENDING,33D
B1751,P1757,UK192,2025-09-19,CONFIRMED,17E
B1752,P1160,AI014,2025-08-13,CANCELLED,34F
B1753,P1199,SJ152,2025-08-08,CANCELLED,5C
B1754,P1215,SJ060,2026-02-11,PENDING,3C
B1755,P1945,AI127,2026-02-17,CANCELLED,10F
B1756,P1211,SJ096,2026-01-27,PENDING,11F
B1757,P1507,AI215,2025-04-24,PENDING,22B
B1758,P1015,UK009,2026-02-28,CANCELLED,26B
B1759,P1497,AI171,2025-10-26,PENDING,16F
B1760,P1883,UK151,2026-01-14,CANCELLED,31B
B1761,P1331,AI099,2025-05-22,CONFIRMED,15A
B1762,P1716,UK050,2025-06-04,CONFIRMED,32B
B1763,P1876,UK092,2025-10-06,CANCELLED,3B
B1764,P1550,SJ058,2025-06-20,CANCELLED,13B
B1765,P1600,SJ090,2025-12-21,CANCELLED,1C
B1766,P1941,6F173,2025-09-07,CANCELLED,1F
B1767,P1255,AI186,2025-11-19,CONFIRMED,6D
B1768,P1991,AI130,2026-03-23,PENDING,13C
B1769,P1765,SJ111,2025-11-23,INVALID,6F
B1770,P1727,6F203,2025-08-04,CONFIRMED,8D
B1771,P1879,6F138,2025-05-24,PENDING,1F
B1772,P1814,6F109,2025-08-29,,10B
B1773,P1171,AI074,2026-01-01,PENDING,16E
B1774,P1648,UK161,2026-01-07,CANCELLED,1B
B1775,P1999,AI008,2025-06-19,CANCELLED,14B
B1776,P1497,UK121,2025-12-27,CANCELLED,17A
B1777,P1470,6F154,2025-04-26,CONFIRMED,11A
B1778,P1383,6F161,2025-08-01,CONFIRMED,10D
B1779,P1689,6F153,2026-02-01,PENDING,22B
B1780,P1588,6F225,2026-02-10,PENDING,11B
B1781,P1699,AI191,2026-02-09,PENDING,18C
B1782,P1506,AI218,2025-08-18,CONFIRMED,25F
B1783,P1991,6F267,2025-09-28,PENDING,25D
B1784,P1526,UK125,2025-08-20,CANCELLED,1B
B1785,P1803,6F208,2025-08-19,PENDING,1B
B1786,P1830,6F119,2026-02-12,CANCELLED,26B
B1787,P1324,AI063,2025-07-11,CONFIRMED,1E
B1788,P1213,UK016,2025-06-05,CANCELLED,2B
B1789,P1207,6F048,2026-01-13,CANCELLED,30F
B1790,P1168,6F266,2025-04-23,CANCELLED,28A
B1791,P1329,AI167,2026-02-24,CONFIRMED,3C
B1792,P1279,6F165,2026-01-17,CONFIRMED,8E
B1793,P1977,SJ104,2025-11-25,CONFIRMED,14C
B1794,P1304,UK160,2025-06-26,CONFIRMED,8D
B1795,P1145,UK160,2026-03-21,PENDING,9C
B1796,P1774,SJ230,2025-11-28,CONFIRMED,9B
B1797,P1515,AI042,2025-06-03,CANCELLED,1A
B1798,P1089,UK197,2025-05-16,CONFIRMED,23E
B1799,P1452,AI107,2026-02-05,PENDING,16E
B1800,P1059,SJ128,2025-08-22,PENDING,7F
B1801,P1310,6F121,2026-04-14,PENDING,34F
B1802,P1527,AI111,2025-06-30,INVALID,16B
B1803,P1226,SJ137,2026-02-21,CONFIRMED,24F
B1804,P1473,AI232,2025-11-12,CONFIRMED,1F
B1805,P1977,SJ113,2025-10-26,CONFIRMED,14B
B1806,P1540,AI117,2025-08-02,CANCELLED,17A
B1807,P1662,6F185,2025-06-28,CANCELLED,12C
B1808,P1756,AI194,2026-01-26,PENDING,3B
B1809,P1781,UK045,2026-04-09,PENDING,13B
B1810,P1078,6F228,2026-03-20,CONFIRMED,34B
B1811,P1432,SJ190,2026-04-04,CANCELLED,25A
B1812,P1800,AI156,2026-01-06,CANCELLED,8A
B1813,P1152,AI104,2025-04-21,INVALID,9D
B1814,P1788,UK033,2025-06-22,CONFIRMED,26C
B1815,P1400,UK137,2025-05-01,PENDING,3C
B1816,P1278,UK214,2025-06-21,PENDING,20F
B1817,P1056,6F033,2025-06-07,PENDING,28D
B1818,P1976,AI114,2025-11-07,CONFIRMED,26B
B1819,P1185,AI017,2026-01-19,CONFIRMED,21E
B1820,P1397,6F244,2025-12-01,PENDING,18E
B1821,P1604,6F160,2025-11-27,PENDING,1C
B1822,P1787,6F088,2026-01-05,CANCELLED,17D
B1823,P1157,6F155,2025-11-26,CANCELLED,19E
B1824,P1786,AI095,2026-04-15,PENDING,9B
B1825,P1692,6F139,2025-05-17,PENDING,5E
B1826,P1358,6F101,2025-07-11,CANCELLED,19A
B1827,P1439,AI054,2025-06-23,PENDING,20D
B1828,P1588,SJ094,2025-05-18,CANCELLED,25B
B1829,P1465,6F217,2026-01-15,CANCELLED,4E
B1830,P1662,6F100,2026-04-15,CANCELLED,23C
B1831,P1445,6F081,2026-02-05,CONFIRMED,21C
B1832,P1749,SJ156,2025-06-17,CONFIRMED,4D
B1833,P1800,6F060,2025-06-07,PENDING,27D
B1834,P1742,UK129,2025-08-14,CANCELLED,33E
B1835,P1487,UK032,2026-02-07,CONFIRMED,2E
B1836,P1529,AI166,2025-09-23,PENDING,13A
B1837,P1072,SJ056,2025-10-31,PENDING,22F
B1838,P1928,SJ101,2025-06-12,PENDING,18F
B1839,P1927,SJ065,2025-05-09,PENDING,9C
B1840,P1700,SJ100,2025-04-19,PENDING,34A
B1841,P1949,UK011,2025-10-24,CANCELLED,1E
B1842,P1016,6F062,2026-02-17,PENDING,3B
B1843,P1530,SJ176,2025-08-15,CANCELLED,23E
B1844,P1730,6F120,2025-11-26,CONFIRMED,3B
B1845,P1325,AI121,2026-03-05,PENDING,24A
B1846,P1994,UK072,2025-08-30,CONFIRMED,34F
B1847,P1631,AI006,2026-04-06,CANCELLED,11B
B1848,P1612,SJ231,2025-05-19,CANCELLED,30D
B1849,P1545,SJ129,2025-06-24,INVALID,12E
B1850,P1595,6F110,2025-04-21,PENDING,33B
B1851,P1920,6F231,2025-11-26,PENDING,2D
B1852,P1707,6F095,2025-08-09,CONFIRMED,33E
B1853,P1841,UK054,2025-05-05,CONFIRMED,18F
B1854,P1201,SJ123,2025-08-10,CONFIRMED,29D
B1855,P1343,6F006,2026-01-04,PENDING,3D
B1856,P1852,UK226,2025-05-04,PENDING,4E
B1857,P1522,AI065,2026-03-07,PENDING,17E
B1858,P1858,6F008,2025-11-25,,10B
B1859,P1399,AI195,2025-11-11,PENDING,7B
B1860,P1217,UK043,2025-08-01,,3A
B1861,P1444,AI125,2025-10-15,CONFIRMED,25E
B1862,P1764,AI089,2025-10-05,PENDING,21A
B1863,P1221,UK019,2026-02-12,CONFIRMED,22C
B1864,P1382,UK078,2025-09-27,CANCELLED,22C
B1865,P1880,SJ009,2025-07-28,CANCELLED,15E
B1866,P1591,UK178,2026-01-28,CONFIRMED,7A
B1867,P1006,UK018,2025-11-23,CONFIRMED,13D
B1868,P1271,SJ059,2026-04-10,CANCELLED,29E
B1869,P1738,UK108,2026-02-04,CONFIRMED,19C
B1870,P1015,6F045,2025-04-25,CANCELLED,5D
B1871,P1423,AI144,2025-10-04,CANCELLED,23E
B1872,P1523,AI244,2025-07-09,PENDING,26E
B1873,P1802,6F265,2025-04-25,CONFIRMED,11B
B1874,P1752,6F108,2026-01-26,CONFIRMED,16E
B1875,P1020,6F069,2025-06-17,PENDING,17D
B1876,P1689,6F072,2025-06-14,CANCELLED,18F
B1877,P1938,6F096,2025-11-09,CONFIRMED,33F
B1878,P1227,SJ233,2025-12-31,PENDING,31D
B1879,P1784,AI203,2025-12-03,PENDING,9E
B1880,P1287,UK147,2026-03-08,CONFIRMED,2E
B1881,P1808,UK039,2025-08-26,PENDING,8E
B1882,P1133,6F216,2025-10-17,CANCELLED,18B
B1883,P1983,AI214,2025-11-17,PENDING,5B
B1884,P1282,UK025,2025-08-31,CANCELLED,31D
B1885,P1403,UK053,2025-08-10,CANCELLED,11B
B1886,P1664,6F130,2026-02-12,INVALID,9D
B1887,P1065,6F247,2026-03-09,PENDING,23F
B1888,P1648,6F159,2025-12-25,CANCELLED,25C
B1889,P1603,UK086,2026-02-24,CANCELLED,22C
B1890,P1436,6F102,2025-08-30,PENDING,12E
B1891,P1828,UK186,2026-01-26,CANCELLED,18D
B1892,P1933,6F032,2025-08-24,PENDING,17F
B1893,P1258,6F186,2025-08-02,CONFIRMED,19A
B1894,P1979,6F106,2026-02-24,CANCELLED,4F
B1895,P1965,AI021,2025-10-05,CANCELLED,14E
B1896,P1102,AI157,2025-11-30,PENDING,11F
B1897,P1992,6F054,2025-11-01,PENDING,26F
B1898,P1566,AI187,2025-10-03,PENDING,10D
B1899,P1768,SJ124,2025-09-28,PENDING,4B
B1900,P1100,SJ223,2025-10-06,CANCELLED,11C
B1901,P1197,UK103,2025-04-25,CONFIRMED,21A
B1902,P1812,SJ157,2026-02-08,CONFIRMED,14F
B1903,P1225,6F242,2025-11-06,CONFIRMED,9B
B1904,P1942,UK213,2025-07-01,CONFIRMED,8B
B1905,P1462,SJ120,2026-02-13,PENDING,24B
B1906,P1236,AI035,2025-08-11,CANCELLED,22B
B1907,P1025,6F147,2026-01-14,CANCELLED,1B
B1908,P1120,SJ229,2025-08-09,CANCELLED,23B
B1909,P1909,AI230,2025-11-14,PENDING,31B
B1910,P1505,UK162,2025-06-10,CANCELLED,5C
B1911,P1181,AI066,2025-05-29,PENDING,27C
B1912,P1710,6F205,2025-09-09,CANCELLED,19D
B1913,P1813,AI124,2025-05-24,CONFIRMED,27B
B1914,P1766,UK114,2025-10-19,PENDING,20A
B1915,P1633,AI231,2025-06-03,CANCELLED,18B
B1916,P1542,AI113,2025-10-30,CONFIRMED,7D
B1917,P1983,UK180,2025-08-03,INVALID,27A
B1918,P1314,UK180,2025-10-07,CONFIRMED,2B
B1919,P1990,6F080,2026-03-17,PENDING,7C
B1920,P1796,SJ095,2025-05-11,PENDING,14A
B1921,P1617,SJ115,2025-04-24,CANCELLED,21F
B1922,P1735,AI142,2025-05-14,CONFIRMED,7D
B1923,P1272,UK169,2025-11-28,CANCELLED,33F
B1924,P1909,SJ041,2025-05-04,CANCELLED,27D
B1925,P1231,UK171,2025-04-20,CONFIRMED,7D
B1926,P1419,AI081,2025-11-27,CANCELLED,18F
B1927,P1767,AI162,2026-01-28,PENDING,27D
B1928,P1441,SJ037,2026-01-23,CANCELLED,6F
B1929,P1495,SJ037,2025-11-05,CONFIRMED,6A
B1930,P1023,UK080,2025-12-16,PENDING,3B
B1931,P1108,SJ031,2025-09-26,PENDING,16C
B1932,P1702,AI199,2025-12-28,CANCELLED,4B
B1933,P1501,6F082,2025-05-28,CANCELLED,7B
B1934,P1858,UK217,2026-04-12,PENDING,9F
B1935,P1024,UK014,2026-04-13,CANCELLED,6C
B1936,P1186,SJ180,2026-01-11,CONFIRMED,14D
B1937,P1287,6F268,2026-02-19,CANCELLED,16E
B1938,P1627,UK205,2026-04-07,CANCELLED,19B
B1939,P1337,SJ212,2025-07-22,PENDING,22B
B1940,P1877,UK052,2025-06-25,CANCELLED,17C
B1941,P1913,UK230,2025-06-13,CANCELLED,19D
B1942,P1036,AI145,2025-07-18,CANCELLED,23D
B1943,P1793,SJ035,2026-03-13,CONFIRMED,7E
B1944,P1136,SJ184,2025-07-20,CANCELLED,10B
B1945,P1507,6F207,2025-11-03,CONFIRMED,24A
B1946,P1226,UK144,2026-03-30,CONFIRMED,15A
B1947,P1319,AI126,2025-10-22,CONFIRMED,1A
B1948,P1839,SJ145,2025-05-19,CONFIRMED,10A
B1949,P1915,6F040,2025-05-16,PENDING,15B
B1950,P1181,UK049,2025-06-15,CONFIRMED,21B
B1951,P1873,UK049,2026-03-18,CANCELLED,3F
B1952,P1085,AI087,2025-10-18,CONFIRMED,2C
B1953,P1466,AI152,2025-05-24,CANCELLED,19A
B1954,P1925,SJ240,2025-11-06,CONFIRMED,2A
B1955,P1052,AI212,2025-09-14,PENDING,22B
B1956,P1859,AI064,2025-09-21,CONFIRMED,3B
B1957,P1866,6F093,2025-06-07,CONFIRMED,32E
B1958,P1234,AI118,2025-04-28,PENDING,29C
B1959,P1958,AI172,2025-12-19,CONFIRMED,23D
B1960,P1778,6F183,2026-01-30,CANCELLED,27E
B1961,P1798,6F200,2025-07-15,CONFIRMED,28A
B1962,P1432,SJ077,2025-12-23,CONFIRMED,18C
B1963,P1495,UK030,2026-02-24,CONFIRMED,27F
B1964,P1998,SJ232,2025-05-21,PENDING,18B
B1965,P1099,6F090,2026-01-29,CONFIRMED,20D
B1966,P1989,UK002,2025-11-06,CONFIRMED,12B
B1967,P1598,AI154,2025-07-03,CANCELLED,22C
B1968,P1402,6F089,2025-10-11,CONFIRMED,2D
B1969,P1395,6F218,2026-04-08,CONFIRMED,29A
B1970,P1526,6F241,2025-11-26,CONFIRMED,12B
B1971,P1414,6F116,2025-08-20,CONFIRMED,2B
B1972,P1938,UK199,2025-04-18,CANCELLED,19B
